column,dtype,n_present,carrier_null,outpatient_null,dme_null
CARR_LINE_ANSTHSA_UNIT_CNT,float64,1,0.0,1.0,1.0
CARR_LINE_MTUS_CNT,float64,1,0.0,1.0,1.0
CARR_LINE_RDCD_PMT_PHYS_ASTN_C,float64,1,0.0,1.0,1.0
CLAIM_QUERY_CODE,float64,1,1.0,0.0,1.0
CLM_MCO_PD_SW,float64,1,1.0,0.0,1.0
CLM_OP_BENE_PMT_AMT,float64,1,1.0,0.0,1.0
CLM_OP_PRVDR_PMT_AMT,float64,1,1.0,0.0,1.0
CLM_TOT_CHRG_AMT,float64,1,1.0,0.0,1.0
DMERC_LINE_MTUS_CNT,float64,1,1.0,1.0,0.1149
DMERC_LINE_SCRN_SVGS_AMT,float64,1,1.0,1.0,0.0
LINE_COINSRNC_AMT,float64,1,0.0,1.0,1.0
LINE_PRMRY_ALOWD_CHRG_AMT,float64,1,1.0,1.0,0.0
NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,float64,1,1.0,0.0,1.0
NCH_BENE_PTB_COINSRNC_AMT,float64,1,1.0,0.0,1.0
NCH_BENE_PTB_DDCTBL_AMT,float64,1,1.0,0.0,1.0
NCH_PRMRY_PYR_CLM_PD_AMT,float64,1,1.0,0.0,1.0
NCH_PROFNL_CMPNT_CHRG_AMT,float64,1,1.0,0.0,1.0
REV_CNTR,float64,1,1.0,0.0,1.0
REV_CNTR_1ST_MSP_PD_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_2ND_MSP_PD_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_BENE_PMT_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_BLOOD_DDCTBL_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_CASH_DDCTBL_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_COINSRNC_WGE_ADJSTD_C,float64,1,1.0,0.0,1.0
REV_CNTR_NCVRD_CHRG_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_PMT_AMT_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_PRVDR_PMT_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_PTNT_RSPNSBLTY_PMT,float64,1,1.0,0.0,1.0
REV_CNTR_RATE_AMT,float64,1,1.0,0.0283,1.0
REV_CNTR_RDCD_COINSRNC_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_TOT_CHRG_AMT,float64,1,1.0,0.0,1.0
REV_CNTR_UNIT_CNT,float64,1,1.0,0.0,1.0
