column,n_claim_types_present,carrier,outpatient,dme
BENE_ID,3,0.0,0.0,0.0
CLM_ID,3,0.0,0.0,0.0
NCH_NEAR_LINE_REC_IDENT_CD,3,0.0,0.0,0.0
NCH_CLM_TYPE_CD,3,0.0,0.0,0.0
CLM_FROM_DT,3,0.0,0.0,0.0
CLM_THRU_DT,3,0.0,0.0,0.0
NCH_WKLY_PROC_DT,3,0.0,0.0,0.0
CARR_CLM_ENTRY_CD,2,0.0,1.0,0.0
CLM_DISP_CD,2,0.0,1.0,0.0
CARR_NUM,2,0.0,1.0,0.0
CARR_CLM_PMT_DNL_CD,2,0.0,1.0,0.0
CARR_CLM_PRMRY_PYR_PD_AMT,2,0.0,1.0,0.0
RFR_PHYSN_UPIN,2,0.9007539612908976,1.0,0.9374839828145022
CARR_CLM_PRVDR_ASGNMT_IND_SW,2,0.0,1.0,0.0
NCH_CLM_PRVDR_PMT_AMT,2,0.0,1.0,0.0
NCH_CLM_BENE_PMT_AMT,2,0.0,1.0,0.0
NCH_CARR_CLM_SBMTD_CHRG_AMT,2,0.0,1.0,0.0
NCH_CARR_CLM_ALOWD_AMT,2,0.0,1.0,0.0
CARR_CLM_CASH_DDCTBL_APLD_AMT,2,0.0,1.0,0.0
CARR_CLM_HCPCS_YR_CD,2,0.0,1.0,0.0
CARR_CLM_RFRNG_PIN_NUM,1,0.7779978108105849,1.0,1.0
PRNCPAL_DGNS_CD,3,0.0,0.0,0.0
PRNCPAL_DGNS_VRSN_CD,2,0.0,1.0,0.0
ICD_DGNS_CD1,3,0.0,0.0,0.0
ICD_DGNS_CD2,3,0.0027016714154808556,0.0009223435688982483,0.0
ICD_DGNS_CD3,3,0.007457448675206177,0.003754672935338002,0.00015074998115625234
ICD_DGNS_CD4,3,0.014902363823227132,0.008760903515788673,0.0014622748172156478
ICD_DGNS_CD5,3,0.02395574829335138,0.015473061582077695,0.004884299389462577
ICD_DGNS_CD6,3,0.03832613351827249,0.02275114136615679,0.01480364814954398
ICD_DGNS_CD7,3,0.06399618980773569,0.032540498772929353,0.03486847064144117
ICD_DGNS_CD8,3,0.09567676868957796,0.04556486061456922,0.06525966684254164
ICD_DGNS_CD9,3,0.13675749296033557,0.06123925973086069,0.1086605864174267
ICD_DGNS_CD10,3,0.18328055325774223,0.07972966354865567,0.16223712972035878
ICD_DGNS_CD11,3,0.23712458604544936,0.09950971589641457,0.22930579633677545
ICD_DGNS_CD12,3,0.2880970484936093,0.12153440967290813,0.2963443129569609
CLM_CLNCL_TRIL_NUM,0,1.0,1.0,1.0
CARR_CLM_BLG_NPI_NUM,1,0.0,1.0,1.0
LINE_NUM,2,0.0,1.0,0.0
CARR_PRFRNG_PIN_NUM,1,0.7779978108105849,1.0,1.0
PRF_PHYSN_UPIN,1,0.9007539612908976,1.0,1.0
ORG_NPI_NUM,2,0.0,0.0,1.0
CARR_LINE_PRVDR_TYPE_CD,1,0.0,1.0,1.0
TAX_NUM,2,0.0,1.0,0.0
PRTCPTNG_IND_CD,2,0.0,1.0,0.0
CARR_LINE_RDCD_PMT_PHYS_ASTN_C,1,0.0,1.0,1.0
LINE_SRVC_CNT,2,0.0,1.0,0.0
LINE_CMS_TYPE_SRVC_CD,2,0.0,1.0,0.0
LINE_PLACE_OF_SRVC_CD,2,0.0,1.0,0.0
CARR_LINE_PRCNG_LCLTY_CD,1,0.0,1.0,1.0
LINE_1ST_EXPNS_DT,2,0.0,1.0,0.0
LINE_LAST_EXPNS_DT,2,0.0,1.0,0.0
HCPCS_CD,3,0.6246807432103098,0.0,0.0
HCPCS_1ST_MDFR_CD,0,1.0,1.0,1.0
HCPCS_2ND_MDFR_CD,0,1.0,1.0,1.0
BETOS_CD,2,0.837541813239304,1.0,0.0
LINE_NCH_PMT_AMT,2,0.0,1.0,0.0
LINE_BENE_PMT_AMT,2,0.0,1.0,0.0
LINE_PRVDR_PMT_AMT,2,0.0,1.0,0.0
LINE_BENE_PTB_DDCTBL_AMT,2,0.0,1.0,0.0
LINE_BENE_PRMRY_PYR_CD,2,0.0,1.0,0.0
LINE_BENE_PRMRY_PYR_PD_AMT,2,0.0,1.0,0.0
LINE_COINSRNC_AMT,1,0.0,1.0,1.0
LINE_SBMTD_CHRG_AMT,2,0.0,1.0,0.0
LINE_ALOWD_CHRG_AMT,2,0.0,1.0,0.0
LINE_PRCSG_IND_CD,2,0.0,1.0,0.0
LINE_PMT_80_100_CD,0,1.0,1.0,1.0
CARR_LINE_MTUS_CNT,1,0.0,1.0,1.0
CARR_LINE_MTUS_CD,0,1.0,1.0,1.0
